Scenario_theorique;Composant;Masse_g;Statut
M3-A;IND_maleate_g;1.71035778;BILAN_THEORIQUE_NON_LIBERATOIRE
M3-A;GLY_matiere_g;0.75055537;BILAN_THEORIQUE_NON_LIBERATOIRE
M3-A;MgSt_externe_g;0.45000000;BILAN_THEORIQUE_NON_LIBERATOIRE
M3-A;lactose_fin_g;0.00000000;BILAN_THEORIQUE_NON_LIBERATOIRE
M3-A;ML001_g;297.08908685;BILAN_THEORIQUE_NON_LIBERATOIRE
M3-A;SV003_g;0.00000000;BILAN_THEORIQUE_NON_LIBERATOIRE
M3-C;IND_maleate_g;1.71035778;BILAN_THEORIQUE_NON_LIBERATOIRE
M3-C;GLY_matiere_g;0.75055537;BILAN_THEORIQUE_NON_LIBERATOIRE
M3-C;MgSt_externe_g;0.45000000;BILAN_THEORIQUE_NON_LIBERATOIRE
M3-C;lactose_fin_g;0.00000000;BILAN_THEORIQUE_NON_LIBERATOIRE
M3-C;ML001_g;148.54454342;BILAN_THEORIQUE_NON_LIBERATOIRE
M3-C;SV003_g;148.54454342;BILAN_THEORIQUE_NON_LIBERATOIRE
M3-F3;IND_maleate_g;1.71035778;BILAN_THEORIQUE_NON_LIBERATOIRE
M3-F3;GLY_matiere_g;0.75055537;BILAN_THEORIQUE_NON_LIBERATOIRE
M3-F3;MgSt_externe_g;0.45000000;BILAN_THEORIQUE_NON_LIBERATOIRE
M3-F3;lactose_fin_g;9.00000000;BILAN_THEORIQUE_NON_LIBERATOIRE
M3-F3;ML001_g;288.08908685;BILAN_THEORIQUE_NON_LIBERATOIRE
M3-F3;SV003_g;0.00000000;BILAN_THEORIQUE_NON_LIBERATOIRE
M3-F6;IND_maleate_g;1.71035778;BILAN_THEORIQUE_NON_LIBERATOIRE
M3-F6;GLY_matiere_g;0.75055537;BILAN_THEORIQUE_NON_LIBERATOIRE
M3-F6;MgSt_externe_g;0.45000000;BILAN_THEORIQUE_NON_LIBERATOIRE
M3-F6;lactose_fin_g;18.00000000;BILAN_THEORIQUE_NON_LIBERATOIRE
M3-F6;ML001_g;279.08908685;BILAN_THEORIQUE_NON_LIBERATOIRE
M3-F6;SV003_g;0.00000000;BILAN_THEORIQUE_NON_LIBERATOIRE
