"F0 - calcul theorique R&D in vitro uniquement"
"Base";"Titres massiques en sel sur produit tel quel"
"Lot_g";"300"
"Remplissage_mg";"25"
"Titre_IND_pct";"100"
"Titre_GLY_pct";"100"
"Matiere";"Masse_g"
"Indacaterol maleate";"1.71036001"
"Glycopyrronium bromide";"0.75055114"
"Magnesium stearate";"0.42000000"
"Lactose monohydrate fin";"18.00000000"
"Lactose monohydrate porteur";"279.11908885"
"Total";"300"
"Limite";"Aucun lot fabrique. Pas un ordre de fabrication qualifie. Pas de surdosage pour pertes. Voir le dossier HTML."
