"Plan exploratoire 16 sommets + 3 centres - lots de 300 g"
"Hypothese";"Sels a titre 100%; corriger selon CoA. MgSt exprime en total."
"Consigne";"Voie F0 ou F0-PI choisie avant le plan; meme voie sur tous les essais; voir protocole HTML."
"Ordre_propose";"Essai";"Lactose_fin_pct";"MgSt_total_pct";"Precoating_min_2500rpm";"Melange_actifs_min_1500rpm";"IND_sel_g";"GLY_sel_total_g";"MgSt_total_g";"Lactose_fin_g";"Lactose_porteur_g";"MgSt_dans_PI_g_si_F0_PI";"MgSt_externe_g_si_F0_PI"
"1";"C1";"6";"0.14";"2";"3";"1.71036001";"0.75055114";"0.42000000";"18.00000000";"279.11908885";"0.03752756";"0.38247244"
"2";"F08";"9";"0.2";"3";"1";"1.71036001";"0.75055114";"0.60000000";"27.00000000";"269.93908885";"0.03752756";"0.56247244"
"3";"F01";"3";"0.08";"1";"1";"1.71036001";"0.75055114";"0.24000000";"9.00000000";"288.29908885";"0.03752756";"0.20247244"
"4";"F14";"9";"0.08";"3";"5";"1.71036001";"0.75055114";"0.24000000";"27.00000000";"270.29908885";"0.03752756";"0.20247244"
"5";"F05";"3";"0.08";"3";"1";"1.71036001";"0.75055114";"0.24000000";"9.00000000";"288.29908885";"0.03752756";"0.20247244"
"6";"F11";"3";"0.2";"1";"5";"1.71036001";"0.75055114";"0.60000000";"9.00000000";"287.93908885";"0.03752756";"0.56247244"
"7";"F03";"3";"0.2";"1";"1";"1.71036001";"0.75055114";"0.60000000";"9.00000000";"287.93908885";"0.03752756";"0.56247244"
"8";"F16";"9";"0.2";"3";"5";"1.71036001";"0.75055114";"0.60000000";"27.00000000";"269.93908885";"0.03752756";"0.56247244"
"9";"F07";"3";"0.2";"3";"1";"1.71036001";"0.75055114";"0.60000000";"9.00000000";"287.93908885";"0.03752756";"0.56247244"
"10";"C2";"6";"0.14";"2";"3";"1.71036001";"0.75055114";"0.42000000";"18.00000000";"279.11908885";"0.03752756";"0.38247244"
"11";"F04";"9";"0.2";"1";"1";"1.71036001";"0.75055114";"0.60000000";"27.00000000";"269.93908885";"0.03752756";"0.56247244"
"12";"F13";"3";"0.08";"3";"5";"1.71036001";"0.75055114";"0.24000000";"9.00000000";"288.29908885";"0.03752756";"0.20247244"
"13";"F02";"9";"0.08";"1";"1";"1.71036001";"0.75055114";"0.24000000";"27.00000000";"270.29908885";"0.03752756";"0.20247244"
"14";"F15";"3";"0.2";"3";"5";"1.71036001";"0.75055114";"0.60000000";"9.00000000";"287.93908885";"0.03752756";"0.56247244"
"15";"F06";"9";"0.08";"3";"1";"1.71036001";"0.75055114";"0.24000000";"27.00000000";"270.29908885";"0.03752756";"0.20247244"
"16";"F10";"9";"0.08";"1";"5";"1.71036001";"0.75055114";"0.24000000";"27.00000000";"270.29908885";"0.03752756";"0.20247244"
"17";"F12";"9";"0.2";"1";"5";"1.71036001";"0.75055114";"0.60000000";"27.00000000";"269.93908885";"0.03752756";"0.56247244"
"18";"F09";"3";"0.08";"1";"5";"1.71036001";"0.75055114";"0.24000000";"9.00000000";"288.29908885";"0.03752756";"0.20247244"
"19";"C3";"6";"0.14";"2";"3";"1.71036001";"0.75055114";"0.42000000";"18.00000000";"279.11908885";"0.03752756";"0.38247244"
"Limite";"Ordre a randomiser/bloquer localement. Parametres pilotes a qualifier. Aucune administration humaine."
