cv_batch;cv_unit;n_batches;n_units;true_ratio;power_batch_means;power_pooled
0.040;0.100;3;10;1.000;0.873;0.994
0.040;0.100;3;10;1.050;0.747;0.968
0.040;0.100;3;10;1.100;0.396;0.730
0.040;0.100;3;20;1.000;0.944;1.000
0.040;0.100;3;20;1.050;0.813;0.984
0.040;0.100;3;20;1.100;0.460;0.854
0.040;0.100;5;10;1.000;0.997;1.000
0.040;0.100;5;10;1.050;0.946;0.998
0.040;0.100;5;10;1.100;0.605;0.836
0.040;0.100;6;10;1.000;1.000;1.000
0.040;0.100;6;10;1.050;0.979;1.000
0.040;0.100;6;10;1.100;0.707;0.896
0.040;0.200;3;10;1.000;0.493;0.810
0.040;0.200;3;10;1.050;0.397;0.666
0.040;0.200;3;10;1.100;0.245;0.372
0.040;0.200;3;20;1.000;0.743;0.956
0.040;0.200;3;20;1.050;0.596;0.862
0.040;0.200;3;20;1.100;0.339;0.590
0.040;0.200;5;10;1.000;0.866;0.952
0.040;0.200;5;10;1.050;0.723;0.856
0.040;0.200;5;10;1.100;0.399;0.544
0.040;0.200;6;10;1.000;0.943;0.966
0.040;0.200;6;10;1.050;0.808;0.906
0.040;0.200;6;10;1.100;0.437;0.580
0.080;0.100;3;10;1.000;0.338;0.900
0.080;0.100;3;10;1.050;0.282;0.808
0.080;0.100;3;10;1.100;0.174;0.586
0.080;0.100;3;20;1.000;0.356;0.940
0.080;0.100;3;20;1.050;0.315;0.856
0.080;0.100;3;20;1.100;0.215;0.712
0.080;0.100;5;10;1.000;0.723;0.988
0.080;0.100;5;10;1.050;0.587;0.928
0.080;0.100;5;10;1.100;0.322;0.728
0.080;0.100;6;10;1.000;0.853;0.992
0.080;0.100;6;10;1.050;0.698;0.938
0.080;0.100;6;10;1.100;0.355;0.766
0.080;0.200;3;10;1.000;0.211;0.646
0.080;0.200;3;10;1.050;0.164;0.568
0.080;0.200;3;10;1.100;0.116;0.410
0.080;0.200;3;20;1.000;0.292;0.818
0.080;0.200;3;20;1.050;0.241;0.738
0.080;0.200;3;20;1.100;0.158;0.520
0.080;0.200;5;10;1.000;0.517;0.828
0.080;0.200;5;10;1.050;0.423;0.774
0.080;0.200;5;10;1.100;0.244;0.480
0.080;0.200;6;10;1.000;0.654;0.934
0.080;0.200;6;10;1.050;0.551;0.804
0.080;0.200;6;10;1.100;0.300;0.554
0.120;0.100;3;10;1.000;0.105;0.708
0.120;0.100;3;10;1.050;0.084;0.666
0.120;0.100;3;10;1.100;0.075;0.492
0.120;0.100;3;20;1.000;0.101;0.806
0.120;0.100;3;20;1.050;0.104;0.728
0.120;0.100;3;20;1.100;0.074;0.588
0.120;0.100;5;10;1.000;0.254;0.862
0.120;0.100;5;10;1.050;0.234;0.798
0.120;0.100;5;10;1.100;0.139;0.600
0.120;0.100;6;10;1.000;0.417;0.902
0.120;0.100;6;10;1.050;0.353;0.802
0.120;0.100;6;10;1.100;0.198;0.616
0.120;0.200;3;10;1.000;0.063;0.472
0.120;0.200;3;10;1.050;0.064;0.484
0.120;0.200;3;10;1.100;0.052;0.372
0.120;0.200;3;20;1.000;0.087;0.670
0.120;0.200;3;20;1.050;0.079;0.612
0.120;0.200;3;20;1.100;0.060;0.500
0.120;0.200;5;10;1.000;0.185;0.692
0.120;0.200;5;10;1.050;0.155;0.612
0.120;0.200;5;10;1.100;0.103;0.484
0.120;0.200;6;10;1.000;0.283;0.782
0.120;0.200;6;10;1.050;0.227;0.664
0.120;0.200;6;10;1.100;0.142;0.504
